INFO 2025-01-20 10:18:17,627 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-20 10:18:17,871 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/email/encoders.py first seen with mtime 1715025275.104324
DEBUG 2025-01-20 10:18:17,871 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/pprint.py first seen with mtime 1715025274.9283276
DEBUG 2025-01-20 10:18:17,871 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/email/policy.py first seen with mtime 1715025275.1163237
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/zoneinfo/__init__.py first seen with mtime 1715025275.5803144
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/dispatch/__init__.py first seen with mtime 1728798743.1806402
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/checks/registry.py first seen with mtime 1728798743.14064
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/sqlparse/filters/output.py first seen with mtime 1721715677.5866039
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/admin/options.py first seen with mtime 1728798742.560637
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/views/generic/__init__.py first seen with mtime 1728798743.2246406
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/ctypes/__init__.py first seen with mtime 1715025275.0323255
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/utils/dateparse.py first seen with mtime 1728798743.2166405
DEBUG 2025-01-20 10:18:17,873 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/template/exceptions.py first seen with mtime 1728798743.2046404
DEBUG 2025-01-20 10:18:17,873 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/hashlib.py first seen with mtime 1715025274.8923283
DEBUG 2025-01-20 10:18:17,873 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/sites/__init__.py first seen with mtime 1728798743.0926397
DEBUG 2025-01-20 10:18:17,873 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/functools.py first seen with mtime 1715025274.8883283
DEBUG 2025-01-20 10:18:17,873 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/sqlparse/exceptions.py first seen with mtime 1721715677.4226027
DEBUG 2025-01-20 10:18:17,873 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/utils/decorators.py first seen with mtime 1728798743.2166405
DEBUG 2025-01-20 10:18:17,873 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/lib-dynload/_bz2.cpython-310-x86_64-linux-gnu.so first seen with mtime 1715025288.3280575
DEBUG 2025-01-20 10:18:17,874 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/checks/security/__init__.py first seen with mtime 1728798743.14064
DEBUG 2025-01-20 10:18:17,874 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/views/decorators/csrf.py first seen with mtime 1728798743.2246406
DEBUG 2025-01-20 10:18:17,874 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/json/__init__.py first seen with mtime 1715025275.356319
DEBUG 2025-01-20 10:18:17,874 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/forms/models.py first seen with mtime 1728798743.1846402
DEBUG 2025-01-20 10:18:17,874 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/reprlib.py first seen with mtime 1715025274.9363275
DEBUG 2025-01-20 10:18:17,874 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/auth/tokens.py first seen with mtime 1728798742.728638
DEBUG 2025-01-20 10:18:17,874 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/utils/functional.py first seen with mtime 1728798743.2166405
DEBUG 2025-01-20 10:18:17,875 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/html/__init__.py first seen with mtime 1715025275.248321
DEBUG 2025-01-20 10:18:17,875 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/tokenize.py first seen with mtime 1715025274.9723268
DEBUG 2025-01-20 10:18:17,875 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/email/feedparser.py first seen with mtime 1715025275.108324
DEBUG 2025-01-20 10:18:17,875 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/models/deletion.py first seen with mtime 1728798743.1726403
DEBUG 2025-01-20 10:18:17,875 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/messages/constants.py first seen with mtime 1728798742.9686391
DEBUG 2025-01-20 10:18:17,875 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/admin/templatetags/admin_list.py first seen with mtime 1728798742.6726375
DEBUG 2025-01-20 10:18:17,875 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/base64.py first seen with mtime 1715025274.852329
DEBUG 2025-01-20 10:18:17,875 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/checks/translation.py first seen with mtime 1728798743.14064
DEBUG 2025-01-20 10:18:17,876 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/files/storage/base.py first seen with mtime 1728798743.14464
DEBUG 2025-01-20 10:18:17,876 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/servers/basehttp.py first seen with mtime 1728798743.15664
DEBUG 2025-01-20 10:18:17,876 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/models/functions/comparison.py first seen with mtime 1728798743.1766403
DEBUG 2025-01-20 10:18:17,876 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/models/aggregates.py first seen with mtime 1728798743.1686401
DEBUG 2025-01-20 10:18:17,876 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/urls/base.py first seen with mtime 1728798743.2126405
DEBUG 2025-01-20 10:18:17,876 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/linecache.py first seen with mtime 1715025274.904328
DEBUG 2025-01-20 10:18:17,876 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/auth/hashers.py first seen with mtime 1728798742.728638
DEBUG 2025-01-20 10:18:17,877 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/admin/filters.py first seen with mtime 1728798742.560637
DEBUG 2025-01-20 10:18:17,882 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/cache/utils.py first seen with mtime 1728798743.13664
DEBUG 2025-01-20 10:18:17,882 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/template/loader_tags.py first seen with mtime 1728798743.2046404
DEBUG 2025-01-20 10:18:17,883 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/lib-dynload/math.cpython-310-x86_64-linux-gnu.so first seen with mtime 1715025287.404076
DEBUG 2025-01-20 10:18:17,883 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/colorama/initialise.py first seen with mtime 1722570575.7590659
DEBUG 2025-01-20 10:18:17,883 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/models/functions/text.py first seen with mtime 1728798743.1806402
DEBUG 2025-01-20 10:18:17,883 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/contenttypes/management/__init__.py first seen with mtime 1728798742.8166382
DEBUG 2025-01-20 10:18:17,883 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/backends/base/creation.py first seen with mtime 1728798743.15664
